Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1-site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2-T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Cyanobacteria AL: other,cyanobacteria,other,cyanal,cyl,4,96,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AM: other,cyanobacteria,other,cyanam,cyl,4,128,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AN: other,cyanobacteria,other,cyanan,cyl,6,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AO: other,cyanobacteria,other,cyanao,cyl,8,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AP: other,cyanobacteria,other,cyanap,cyl,8,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AQ: other,cyanobacteria,other,cyanaq,cyl,8,168,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom Z: centric,diatom,centric,diaz,cyl,32,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AA: centric,diatom,centric,diaaa,cyl,40,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AB: centric,diatom,centric,diaab,cyl,48,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AC: centric 17-32 µm,diatom,centric,diaac,cyl,24.5,24.5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.38,1,0.5,1,0.6,0.6,0.5,1,1,1,1,1,1,1,1,1,0.5,1,0.36,1,0.19,0.67,0.24,1,0.5,0.3,0.5,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AD: chain,diatom,chain,diaad,cyl,4,20,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AE: chain,diatom,chain,diaae,cyl,4,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AF: chain,diatom,chain,diaaf,cyl,4,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AG: chain,diatom,chain,diaag,cyl,4,104,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AH: chain,diatom,chain,diaah,cyl,4,160,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AI: chain,diatom,chain,diaai,cyl,6,176,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AJ: chain,diatom,chain,diaaj,cyl,6,248,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AK: chain,diatom,chain,diaak,cyl,8,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AL: chain,diatom,chain,diaal,cyl,8,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AM: chain,diatom,chain,diaam,recbox,8,136,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AN: chain,diatom,chain,diaan,cyl,8,144,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AO: chain,diatom,chain,diaao,recbox,8,160,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AP: chain,diatom,chain,diaap,cyl,8,200,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AQ: chain,diatom,chain,diaaq,cyl,8,256,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AR: chain,diatom,chain,diaar,cyl,8,408,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AS: chain,diatom,chain,diaas,cyl,12,128,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AU: chain,diatom,chain,diaau,cyl,16,160,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AV: chain,diatom,chain,diaav,cyl,16,240,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AW: chain,diatom,chain,diaaw,cyl,24,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AX: chain,diatom,chain,diaax,cyl,32,1400,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom AZ: egg shaped,diatom,egg shaped,diaaz,prosph,16,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BA: egg shaped,diatom,egg shaped,diaba,prosph,32,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BB: egg shaped,diatom,egg shaped,diabb,prosph,32,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BE: other,diatom,other,diabe,prosph,8,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BF: other,diatom,other,diabf,prosph,9.6,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BG: other,diatom,other,diabg,prisell,16,32,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BI: pennate,diatom,pennate,diabi,prisell,2,96,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BL: pennate,diatom,pennate,diabl,cyl,4,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BM: pennate,diatom,pennate,diabm,prisell,4,40,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BN: pennate,diatom,pennate,diabn,prisell,4,56,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BO: pennate,diatom,pennate,diabo,prisell,4,64,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BP: pennate,diatom,pennate,diabp,prisell,4,96,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BQ: pennate,diatom,pennate,diabq,prisell,4,120,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BR: pennate,diatom,pennate,diabr,prisell,4,160,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BS: pennate,diatom,pennate,diabs,prisell,4,200,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BT: pennate,diatom,pennate,diabt,prosph,4,240,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BU: pennate,diatom,pennate,diabu,cyl,6,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BV: pennate,diatom,pennate,diabv,cyl,6,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BW: pennate,diatom,pennate,diabw,,6,56,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BX: pennate,diatom,pennate,diabx,prisell,6,64,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BY: pennate,diatom,pennate,diaby,prisell,6,72,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom BZ: pennate,diatom,pennate,diabz,cyl,6,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CA: pennate,diatom,pennate,diaca,cyl,6,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CB: pennate,diatom,pennate,diacb,prisell,6,160,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CC: pennate,diatom,pennate,diacc,prisell,6.4,36,6.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CD: pennate,diatom,pennate,diacd,prosph,8,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CE: pennate,diatom,pennate,diace,prisell,8,32,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CF: pennate,diatom,pennate,diacf,prisell,8,40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CG: pennate,diatom,pennate,diacg,cyl,8,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,0.78,1,1,1,0.5,0.78,0.6
Diatom CH: pennate,diatom,pennate,diach,prosph,8,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CI: pennate,diatom,pennate,diaci,prisell,8,64,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CJ: pennate,diatom cylindrotheca,pennate,diacj,prosph,8,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CK: pennate,diatom,pennate,diack,prisell,8,80,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CL: pennate,diatom,pennate,diacl,prispar,8,120,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CM: pennate,diatom,pennate,diacm,prisell,8,144,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CN: pennate,diatom,pennate,diacn,prisell,8,168,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CO: pennate,diatom,pennate,diaco,cyl,8,184,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CP: pennate,diatom,pennate,diacp,prisell,8,256,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CQ: pennate,diatom,pennate,diacq,prisell,8,320,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CS: pennate,diatom,pennate,diacs,prisell,12,48,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CT: pennate,diatom,pennate,diact,prisell,12,56,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CU: pennate,diatom,pennate,diacu,prosph,12,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CV: pennate,diatom,pennate,diacv,prisell,12,128,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CW: pennate,diatom,pennate,diacw,prisell,16,40,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CX: pennate,diatom cylindrotheca,pennate,diacx,prosph,16,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CY: pennate,diatom,pennate,diacy,recbox,16,64,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom CZ: pennate,diatom,pennate,diacz,prisell,16,104,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Diatom DA: pennate,diatom,pennate,diada,recbox,16,160,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
