Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Diatom X: pennate C 4x26,diatom,pennate,diax,prisell,4,26,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate A: Cryptomonas 4 to 7 µm,flagellate,cryptomonas,flaga,prosph,3.67,5.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.08,0.13,0.11,0.13,0.13,0.21,0.12,0.12,0.09,0.24,0.12,0.11,0.08,0.07,0.15,0.2,0.13,0.15,0.04,0.27,0.19,0.07,0.12,0.19,0.12,0.09,0.24,0.11,0.04,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate B: Cryptomonas 8 to 11 µm,flagellate,cryptomonas,flagb,prosph,6.33,9.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.11,0.04,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate C: Cryptomonas 12 to 16 µm,flagellate,cryptomonas,flagc,prosph,9,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate D: Other 4 to 7 µm,flagellate,other,flagd,prosph,3.67,5.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.12,0.07,0.12,0.14,0.12,0.09,0.07,0.22,0.04,0.11,0.33,0.37,0.24,0.21,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.12,0.09,0.16,0.05,0.05,0.16
Flagellate E: Other 8 to 11 µm,flagellate,other,flage,prosph,6.33,9.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.12,0.19,0.19,0.19,0.2,0.19,0.07,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.1,0.16,0.05,0.05,0.05
Flagellate F: Other 12 to 16 µm,flagellate,other,flagf,prosph,9,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate G: in a cone,flagellate,in a cone,flagg,sph,4,4,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Flagellate H: in a cone,flagellate,in a cone,flagh,sph,6,6,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A1,unidentified,other,una1,cyl,2,10,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A2,unidentified,other,una2,cyl,3,8,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A3,unidentified,other,una3,prosph,4,8,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A4,unidentified,other,una4,prosph,6,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A5,unidentified,other,una5,prosph,8,12,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A6,unidentified,other,una6,sph,10,10,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A7,unidentified,other,una7,sph,10,16,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A8,unidentified,other,una8,sph,12,12,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified A9,unidentified,other,una9,prisell,2,10,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B1 flag/chloro,unidentified,flagchloro,unb1,cyl,3,26,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B2 flag/chloro,unidentified,flagchloro,unb2,cyl,4,8,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B3 flag/chloro,unidentified,flagchloro,unb3,cyl,4,10,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B4 flag/chloro,unidentified,flagchloro,unb4,cyl,4,12,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.23,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B5 flag/chloro,unidentified,flagchloro,unb5,cyl,4,20,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified B6 flag/chloro,unidentified,flagchloro,unb6,cyl,4,26,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified Round A: 4 to 7 µm,unidentified,round,unrna,sph,5.5,5.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.11,0.12,0.07,0.1,0.08,0.12,0.07,0.07,0.11,0.04,0.11,0.23,0.19,0.24,0.16,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.08,0.1,0.05,0.11,0.05,0.05,0.05
Unidentified Round B: 8 to 11 µm,unidentified,round,unrnb,sph,9.5,9.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.12,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Unidentified Round C: 12 to 16 µm,unidentified,round,unrnc,sph,14,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.09,0.19,0.19,0.19,0.07,0.15,0.2,0.35,0.15,0.09,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
